8,|NL598253666,29-5-2024,15:42:03,OK,12100,-,-,39400
8,|NL598253666,30-5-2024,00:21:43,OK,14100,-,-,39400
8,|NL598253666,30-5-2024,09:06:30,OK,13300,-,-,39400
8,|NL598253666,30-5-2024,15:40:46,OK,10800,-,-,39400
8,|NL598253666,30-5-2024,22:49:26,OK,12400,-,-,39400
8,|NL598253666,31-5-2024,07:33:16,OK,15200,-,-,39400
8,|NL598253666,31-5-2024,14:54:51,OK,12600,-,-,39400
8,|NL598253666,31-5-2024,23:00:21,OK,12300,-,-,39400
8,|NL598253666,1-6-2024,07:20:18,OK,15500,-,-,39400
8,|NL598253666,1-6-2024,14:33:44,OK,12300,-,-,39400
8,|NL598253666,1-6-2024,23:54:37,OK,15100,-,-,39400
8,|NL598253666,2-6-2024,07:19:44,OK,12600,-,-,39400
8,|NL598253666,2-6-2024,14:57:43,OK,12300,-,-,39400
8,|NL598253666,2-6-2024,22:39:33,OK,12700,-,-,39400
8,|NL598253666,3-6-2024,06:37:35,OK,13800,-,-,39400
8,|NL598253666,3-6-2024,15:24:56,OK,15100,-,-,39400
8,|NL598253666,3-6-2024,22:47:32,OK,12400,-,-,39400
8,|NL598253666,4-6-2024,06:52:38,OK,14300,-,-,39400
8,|NL598253666,4-6-2024,15:13:33,OK,13700,-,-,39400
8,|NL598253666,5-6-2024,00:06:22,OK,15100,-,-,39400
8,|NL598253666,5-6-2024,12:31:07,OK,20100,-,-,39400
8,|NL598253666,5-6-2024,22:06:49,OK,14600,-,-,39400
8,|NL598253666,6-6-2024,07:02:48,OK,14900,-,-,39400
8,|NL598253666,6-6-2024,16:00:54,OK,13300,-,-,39400
8,|NL598253666,7-6-2024,00:25:10,OK,13600,-,-,39400
8,|NL598253666,7-6-2024,07:15:37,OK,11200,-,-,39400
8,|NL598253666,7-6-2024,14:11:31,OK,11100,-,-,39400
8,|NL598253666,7-6-2024,22:39:20,OK,12900,-,-,39400
8,|NL598253666,8-6-2024,09:06:07,OK,17500,-,-,39400
8,|NL598253666,8-6-2024,15:38:26,OK,11100,-,-,39400
8,|NL598253666,8-6-2024,22:02:32,OK,10400,-,-,39400
8,|NL598253666,9-6-2024,07:51:44,OK,16600,-,-,39400
8,|NL598253666,9-6-2024,14:51:15,OK,11800,-,-,39400
8,|NL598253666,9-6-2024,22:15:27,OK,12500,-,-,39400
8,|NL598253666,10-6-2024,06:35:31,OK,13100,-,-,39400
8,|NL598253666,10-6-2024,15:11:21,OK,12500,-,-,39400
8,|NL598253666,10-6-2024,22:02:30,OK,9500,-,-,39400
